"";"ssec ";"sfree ";"tsec ";"tfree ";"trust5 ";"med_act ";"finan ";"micronarratives ";"mainstream ";"man_eff ";"man_acc "
"ssec";" 1.00   ";"";"";"";"";"";"";"";"";"";""
"sfree";" 0.86***";" 1.00   ";"";"";"";"";"";"";"";"";""
"tsec";" 0.27***";" 0.29***";" 1.00   ";"";"";"";"";"";"";"";""
"tfree";" 0.25** ";" 0.27***";" 0.57***";" 1.00   ";"";"";"";"";"";"";""
"trust5";"-0.17*  ";"-0.22** ";"-0.25** ";"-0.06   ";" 1.00   ";"";"";"";"";"";""
"med_act";" 0.04   ";" 0.11   ";" 0.04   ";"-0.02   ";"-0.01   ";" 1.00   ";"";"";"";"";""
"finan";"-0.38***";"-0.38***";"-0.41***";"-0.28***";" 0.38***";"-0.07   ";" 1.00   ";"";"";"";""
"micronarratives";"-0.07   ";"-0.06   ";" 0.09   ";" 0.11   ";"-0.12   ";" 0.01   ";" 0.03   ";" 1.00   ";"";"";""
"mainstream";"-0.16   ";"-0.22** ";"-0.06   ";"-0.04   ";" 0.47***";"-0.04   ";" 0.31***";" 0.33***";" 1.00   ";"";""
"man_eff";"-0.20*  ";"-0.34***";"-0.06   ";" 0.01   ";" 0.42***";"-0.07   ";" 0.22** ";" 0.02   ";" 0.43***";" 1.00   ";""
"man_acc";"-0.51***";"-0.61***";"-0.15   ";"-0.08   ";" 0.40***";"-0.09   ";" 0.26** ";" 0.03   ";" 0.36***";" 0.73***";" 1.00   "
