"";"ssec ";"sfree ";"tsec ";"tfree ";"trust5 ";"medtime_1 ";"micronarratives ";"mainstream ";"man_eff ";"man_acc "
"ssec";" 1.000   ";"";"";"";"";"";"";"";"";""
"sfree";" 0.740***";" 1.000   ";"";"";"";"";"";"";"";""
"tsec";" 0.343***";" 0.219** ";" 1.000   ";"";"";"";"";"";"";""
"tfree";" 0.261***";" 0.186*  ";" 0.638***";" 1.000   ";"";"";"";"";"";""
"trust5";"-0.295***";"-0.342***";"-0.267***";"-0.265***";" 1.000   ";"";"";"";"";""
"medtime_1";"-0.012   ";"-0.115   ";" 0.119   ";" 0.062   ";"-0.119   ";" 1.000   ";"";"";"";""
"micronarratives";" 0.259** ";" 0.298***";" 0.135   ";" 0.146   ";"-0.286***";"-0.040   ";" 1.000   ";"";"";""
"mainstream";"-0.008   ";"-0.079   ";"-0.074   ";"-0.004   ";" 0.233** ";"-0.058   ";" 0.263***";" 1.000   ";"";""
"man_eff";"-0.394***";"-0.460***";"-0.141   ";"-0.218** ";" 0.347***";" 0.043   ";"-0.261** ";" 0.270***";" 1.000   ";""
"man_acc";"-0.619***";"-0.779***";"-0.270***";"-0.196*  ";" 0.382***";" 0.081   ";"-0.214** ";" 0.268***";" 0.615***";" 1.000   "
